URL,Violations,Status of issue,Comment
https://www.letstalk.wellington.govt.nz/traffic-resolutions-july-2023-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/frederick-street-park-updates,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/frederick-street-park-updates,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/phase-2-levels-of-service-citizen-assembly,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/phase-2-levels-of-service-citizen-assembly,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-traffic-and-parking-restrictions,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-version-two-traffic-and-parking-restrictions,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-version-two-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-ver-3-traffic-and-parking-restrictions,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-ver-3-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-november-2023,"duplicate-id, empty-heading, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-november-2023,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/commemorative-policy,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/commemorative-policy,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/freedom-camping-rules,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/freedom-camping-rules,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/willowbank-reserve-play,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/willowbank-reserve-play,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/letstalk-newsletter,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/letstalk-newsletter,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/rating-policies-review,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/rating-policies-review,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/riddiford-russell-roundabout,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/riddiford-russell-roundabout,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-december-2023,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-december-2023,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/box-hill-station-road-intersection,"duplicate-id, empty-heading, image-redundant-alt, region",Violation,
https://www.letstalk.wellington.govt.nz/box-hill-station-road-intersection,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/lgwm-december-2023-trs,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/lgwm-december-2023-trs,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/hutt-road-tr,"duplicate-id, empty-heading, frame-title, region",Violation,
https://www.letstalk.wellington.govt.nz/hutt-road-tr,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/ohiro-road-south-improvements,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/ohiro-road-south-improvements,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-february-2024-traffic-and-parking-restrictions,"duplicate-id, empty-heading, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-february-2024-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-april-2024,"duplicate-id, empty-heading, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-april-2024,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/half-cost-path-policy,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/half-cost-path-policy,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/coastal-reserve-management-plan,"duplicate-id, empty-heading, heading-order, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/coastal-reserve-management-plan,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/water-services-bylaw,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/water-services-bylaw,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/burbank-play-area-renewal,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/burbank-play-area-renewal,color-contrast,Needs Review,
